"id","nome","instituicao","pais"
"06-4E4",Riccardo Russo,,
"06-4E5",Patrick Murphy,,
"06-4E6",Reija Helenius,,
"06-4F1",Abbas Bazargan,,
"06-4F2",Mary W. Gray,,
"06-4F3",Michael J Campbell,,
"06-4G1",Stephen A. Zayac,,
"06-4G2",Luigi Biggeri,,
"06-4G2",Alberto Zuliani,,
"06-4G3",Beverley Carlson,,
"06-4G4",Lionel Pereira-Mendoza,,
"06-4H1",Theodore Chadjipadelis,,
"06-4H2",Corinne Hahn,,
"06-4H2",Patrick Dassonville,,
"06-4H3",Enrico Giovannini,,
"06-4I1",John A. Harraway,,
"06-4I2",Katarina Cobanovic,,
"06-4J2",Nadezhda Tsankova,University of Veliko Turnovo St Cyril and St. Methodius,Bulgária
"06-4K1",Gerald W. McLaughlin,,
"06-4K1",Josetta S. McLaughlin,,
"06-4K2",Linda Hewitt,,
"06-4K3",Mary Ann Coughlin,,
"06-4K4",P. J. Vermeulen,,
"06-5A2",Michael Bulmer,,
"06-5A3",Joachim Engel,University of Education,Alemanha
"06-5A4",Jerry L. Moreno,,
"06-5B1",J A John,,
"06-5B1",D G Johnson,,
"06-5B2",Daniel Berze,,
"06-5C1",Richard Madden,,
"06-5C2",Jonathan D. Cryer,,
"06-5C3",Gerald W. Goodall,,
"06-5C3",Derek J. Pike,,
"06-5D1",Pali Lehohla,,
"06-5D2",Brian Phillips,,
"06-5D3",Neville Hunt,,
"06-5D3",Flavia Jolliffe,,
"06-5D3",Neville Davies,,
"06-5D4",Derek J. Pike,,
"06-5E1",Richard J. Wilson,,
"06-5E2",Stephen B. Vardeman,,
"06-5E4",Neil T. Diamond,,
"06-5E4",Ewa M. Sztendur,,
"06-5F2",Naoko Sakurai,,
"06-5F2",Michiko Watanabe,,
"06-5F2",Katsuyuki Suenaga,,
"06-5F2",Hiroshi Yadohisa,,
"06-5F2",Akinobu Takeuchi,,
"06-5F2",Kazunori Yamaguchi,,
"06-5F2",Chooichiro Asano,,
"06-5F3",Ewan Crawford,,
"06-5F3",Adrian Bowman,,
"06-5F4",Sohair M. F. Higazi,Tanta University,Egito
"06-5G1",Bradley Payne,,
"06-5G1",Nick Merryfield,,
"06-5G1",David Griffiths,,
"06-5G2",Nibia Aires,,
"06-5G2",Dag Thelle,,
"06-5G3",Ivar Heuch,,
"06-5H1",Eric R. Sowey,,
"06-5H2",Jacky Galpin,,
"06-6A1",Jane M. Watson,,
"06-6A2",Graham A. Jones,,
"06-6A2",Edward S. Mooney,,
"06-6A2",Cynthia W. Langrall,,
"06-6A2",Carol A. Thornton,,
"06-6A3",M. V. Polaki,,
"06-6A4",Tova Kvatinsky,,
"06-6A4",Ruhama Even,,
"06-6A6",Michael Shaughnessy,,
"06-6A6",Matthew Ciancetta,,
"06-6B1",Juan D. Godino,,
"06-6B2",Maxine Pfannkuch,,
"06-6B2",Chris Wild,,
"06-6B3",Cynthia W. Langrall,,
"06-6B3",Edward S. Mooney,,
"06-6B4",Peter Petocz,,
"06-6B4",Anna Reid,,
"06-6C1",Kay Lipson,Swinburne University of Technology,Austrália
"06-6C2",Liliana Tauber,Universidad Nacional del Litoral,Argentina
"06-6C2",Victoria Sánchez,Universidad de Sevilla,Espanha
"06-6C3",Geoff Cumming,,
"06-6C3",Fiona Fidler,,
"06-6C3",Neil Thomason,,
"06-6C4",J. Richard Alldredge,Washington State University,Estados Unidos
"06-6C4",Nicholas A. Som,Washington State University,Estados Unidos
"06-6D1",Sharon J. Derry,,
"06-6D1",Joel R. Levin,,
"06-6D1",Rand J. Spiro,,
"06-6D2",Nancy C. Lavigne,,
"06-6D2",Susanne P. Lajoie,,
"06-6D3",Susanne P. Lajoie,,
"06-6D3",Andrew Chiarella,,
"06-6D4",David A. Thomas,Ball State University,Estados Unidos
"06-6D4",Giray Ökten,Ball State University,Estados Unidos
"06-6D4",and Paul Buis,Ball State University,Estados Unidos
"06-6E1",Celi Aparecida Espasandin Lopes,,
"06-6E1",Anna Regina Lanner de Moura,,
"06-6E2",Ernesto Sánchez Sánchez,Centro de Investigación y de Estudios Avanzados del IPN,México
"06-6E3",Linda Gattuso,,
"06-6E3",Maria A. Pannone,,
"06-6E4",Tim Burgess,,
"06-6F1",Dirk Tempelaar,,
"06-6F2",Glenda Francis,,
"06-6F3",Sterling C. Hilton,,
"06-6F3",Howard B. Christensen,,
"06-6F4",Zamalia Mahmud,,
"06-6F4",Rosli Abdul Rahim,,
"06-6G1",Cileda de Queiroz e Silva Coutinho,Université Joseph Fourier,França
"06-6G2",Marie Berrondo-Agrell,,
"06-6G3",Talma Leviatan,,
"06-6G4",Li Jun,,
"06-6G4",Lionel Pereira-Mendoza,,
"06-6H1",Carmen Batanero,,
"06-6H1",Juan D. Godino,,
"06-7A1",Hans-Joachim Mittag,University of Hagen,Alemanha
"06-7A2",P. Darius,Catholic University Leuven,Bélgica
"06-7A2",S. Michiels,Catholic University Leuven,Bélgica
"06-7A2",B. Raeymaekers,Catholic University Leuven,Bélgica
"06-7A3",W. Douglas Stirling,Massey University,Nova Zelândia
"06-7B2",Mervyn Marasinghe,Iowa State University,Estados Unidos
"06-7B3",Andrej Blejec,National Institute of Biology,Eslovênia
"06-7B4",Peter Theuns,Vrije Universiteit,Bélgica
"06-7B4",Walentina Cools,Vrije Universiteit,Bélgica
"06-7C2",H. L. MacGillivray,Queensland University of Technology,Austrália
"06-7C3",Douglas C. Montgomery,Arizona State University,Estados Unidos
"06-7D1",Gail Burrill,Michigan State University,Estados Unidos
"06-7D2",Guido Herweyers,Catholic University Leuven,Bélgica
"06-7E1",Gilbert Saporta,Conservatoire National des Arts et Métiers,França
"06-7E2",Jenny Pange,University of Ioannina,Grécia
"06-7E3",Joseph M. Wisenbaker,University of Georgia,Estados Unidos
"06-7F1",Arthur Bakker,University of Utrecht,Países Baixos
"06-7F2",Tim Erickson,Epistemological Engineering,Estados Unidos
"06-7F4",William Finzer,KCP Technologies,Estados Unidos
"06-7F5",Clifford Konold,University of Massachusetts,Estados Unidos
"06-7F6",Andee Rubin,TERC,Estados Unidos
"06-7G1",Owen Giles,Eastern Institute of Technology,Nova Zelândia
"06-7G1",Siva Ganesh,Massey University,Nova Zelândia
"06-7G2",Rodney Carr,Deakin University,Austrália
"06-7G3",Robin H. Lock,St. Lawrence University,Estados Unidos
"06-7G4",Geoff Cumming,La Trobe University,Austrália
"06-8A1",Carl Lee,,
"06-8A1",Maria Meletiou,,
"06-8A1",Howard K Wachtel,,
"06-8A1",Aklilu Zeleke,,
"06-8A2",Livia D'Andrea,,
"06-8A2",Charley Waters,,
"06-8A4",Jacqueline B. Miller,,
"06-8A5",Verena Nolan,,
"06-8B1",Kay McClain,,
"06-8B2",Clifford Konold,,
"06-8B2",Amy Robinson,,
"06-8B2",Khalimahtul Khalil,,
"06-8B2",Alexander Pollatsek,,
"06-8B2",Arnold Well,,
"06-8B2",Rachel Wing,,
"06-8B2",and Susanne Mayr,,
"06-8B3",Rich Lehrer,,
"06-8B3",Leona Schauble,,
"06-8E1",Linda M. Quinn,,
"06-8E2",Loi Soh Loi,,
"06-8E3",Saleha Naghmi Habibullah,,
"06-8E4",Susan Starkings,,
"06-8F1",W. Martin Podehl,,
"06-8G1",Rénette J. Blignaut,,
"06-8G1",I.M. Venter,,
"06-9B1",Reda Mosad El-Said Asar,,
"06-9B3",John W. Odhiambo,,
"06-9C1",Elena T. Fernández de Carrera,,
"06-9C2",Antonio Estepa,,
"06-9C3",Teresita E. Terán,,
"06-9D1",Louisa Lam,,
"06-9D2",R. P. Suresh,,
"06-9D3",D. S. Hooda,,
"06-9D3",B.K. Hooda,,
"06-9D4",Wang Jili,,
"06-9D4",Zhang Yong,,
"07-1A1",Giovanni A. Barbieri,,
"07-1A1",Paola Giacché,,
"07-1A2",Vicki Crompton,,
"07-1A2",John Flanders,,
"07-1A3",Wendy Watkins,,
"07-1A3",Charles Humphrey,,
"07-1B1",Megan Clark,,
"07-1B2",Saleha Naghmi Habibullah,,
"07-1B3",John P. Holcomb Jr.,,
"07-1B3",Norean Radke Sharpe,,
"07-1C1",Tânia Maria Mendonça Campos,,
"07-1C1",Cileda de Queiroz e Silva Coutinho,,
"07-1C1",Saddo Ag Almouloud,,
"07-1C2",Linda Gattuso,,
"07-1C3",S. Mignani,,
"07-1C3",P. Monari,,
"07-1C3",R. Ricci,,
"07-1C3",A. Orlandoni,,
"07-1D1",Susan Starkings,,
"07-1D2",Oscar Hernández,,
"07-1D3",Fernando Avila,,
"07-1D3",Miguel Nakamura,,
"07-1E2",Guido E. del Pino,,
"07-1E3",Ana Silvia Haedo,,
"07-2A1",Efi Paparistodemou,,
"07-2A1",Despina Potari,,
"07-2A1",Demetra Pitta,,
"07-2A2",Jennifer Way,,
"07-2A3",Cynthia Langrall,,
"07-2A3",Steven Nisbet,,
"07-2A3",Edward Mooney,,
"07-2A4",Edward Mooney,,
"07-2A4",Cynthia Langrall,,
"07-2A4",Steven Nisbet,,
"07-2B1",Hanan Innabi,,
"07-2B2",Juan Ortega Moya,,
"07-2B2",Antonio Estepa Castro,,
"07-2B3",Gary D. Kader,,
"07-2B3",Mike Perry,,
"07-2B4",Verônica Yumi Kataoka,,
"07-2B4",Eric Batista Ferreira,,
"07-2B4",C.S.F. da Silva,,
"07-2B4",M.S. Oliveira,,
"07-2C1",Jeeva Periasamy,,
"07-2C2",Henry Kranendonk,,
"07-2C3",José Armando Albert Huerta,,
"07-2C3",Juan Ernesto Colunga Cavazos,,
"07-2C3",Juan Antonio López Esquivel,,
"07-2C4",Timothy I. Matis,,
"07-2D1",Dani Ben-Zvi,University of Haifa,Israel
"07-2D2",Rolf Biehler,University of Kassel,Alemanha
"07-2D3",Andee Rubin,TERC,Estados Unidos
"07-2D3",James K.L. Hammerman,TERC,Estados Unidos
"07-2D3",Cliff Konold,University of Massachusetts,Estados Unidos
"07-2D4",Arthur Bakker,University of London,Reino Unido
"07-2D4",Jan Derry,University of London,Reino Unido
"07-2D4",Cliff Konold,University of Massachusetts,Estados Unidos
"07-2E2",Allan Rossman,California Polytechnic State University,Estados Unidos
"07-2E2",Elsa Medina,California Polytechnic State University,Estados Unidos
"07-2E2",Beth Chance,California Polytechnic State University,Estados Unidos
"07-2E3",Dan Canada,,
"07-2E4",Ana Serradó,,
"07-2E4",Pilar Azcárate,,
"07-2E4",José María Cardeñoso,,
"07-2F1",Delia North,,
"07-2F1",Temesgen Zewotir,,
"07-2F2",James Nicholson,,
"07-2F2",Jim Ridgway,,
"07-2F2",Sean McCusker,,
"07-2F3",Félicien Donat E. T. Accrombessy,,
"07-2G1",Carlos Monteiro,,
"07-2G1",Janet Ainley,,
"07-2G2",José Luis Cortina,,
"07-2G2",Qing Zhao,,
"07-2G2",Jana Visnovská,,
"07-2G3",Dirk Tempelaar,,
"07-3A1",Eric R. Sowey,,
"07-3A2",Angus K. McFadyen,,
"07-3A3",Timothy E. O’Brien,Loyola University Chicago,Estados Unidos
"07-3A4",Pieternel Verhoeven,,
"07-3B1",Elvezio Ronchetti,,
"07-3B2",David S. Zamar,Simon Fraser University,Canadá
"07-3B2",Ruben H. Zamar,University of British Columbia,Canadá
"07-3B3",Víctor J. Yohai,,
"07-3C1",Claudio Silva,,
"07-3C1",Irene Schiattino,,
"07-3C1",Francisco Cumsille,,
"07-3C1",Gabriel Cavada,,
"07-3C1",Rosa Montaño,,
